Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-12 23:39:26,2022-07-12 23:39:27,0.761s,PASSED
,,,,,,,
Test Cases/96_New Training Program Preparing your Application section,Chrome 103.0.5060.114,,,2022-07-12 23:39:27,2022-07-12 23:39:37,10.306s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-12 23:39:28,2022-07-12 23:39:30,1.519s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-12 23:39:30,2022-07-12 23:39:30,0.143s,PASSED
"navigateToUrl(""https://intra.stage.apps.labour.gov.on.ca/public-portal-qa/#/marketplace/course-search"")",Chrome 103.0.5060.114,,,2022-07-12 23:39:30,2022-07-12 23:39:32,2.585s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), 0)",Chrome 103.0.5060.114,,,2022-07-12 23:39:32,2022-07-12 23:39:33,1.040s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:39:33,2022-07-12 23:39:34,0.503s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_Training Eligibility""))",Chrome 103.0.5060.114,,,2022-07-12 23:39:34,2022-07-12 23:39:35,0.642s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:39:35,2022-07-12 23:39:35,0.905s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), ""CPO Approved Courses"")",Chrome 103.0.5060.114,,,2022-07-12 23:39:35,2022-07-12 23:39:36,0.782s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-12 23:39:36,2022-07-12 23:39:37,1.075s,PASSED
,,,,,,,
Test Cases/97_New Training Program Steps to Approve your Application section,Chrome 103.0.5060.114,,,2022-07-12 23:39:37,2022-07-12 23:39:47,9.212s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-12 23:39:38,2022-07-12 23:39:40,1.474s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-12 23:39:40,2022-07-12 23:39:40,0.144s,PASSED
"navigateToUrl(""https://intra.stage.apps.labour.gov.on.ca/public-portal-qa/#/marketplace/course-search"")",Chrome 103.0.5060.114,,,2022-07-12 23:39:40,2022-07-12 23:39:42,2.412s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), 0)",Chrome 103.0.5060.114,,,2022-07-12 23:39:42,2022-07-12 23:39:43,0.787s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:39:43,2022-07-12 23:39:44,0.516s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_Training Eligibility""))",Chrome 103.0.5060.114,,,2022-07-12 23:39:44,2022-07-12 23:39:44,0.562s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:39:44,2022-07-12 23:39:45,0.773s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), ""CPO Approved Courses"")",Chrome 103.0.5060.114,,,2022-07-12 23:39:45,2022-07-12 23:39:46,0.657s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-12 23:39:46,2022-07-12 23:39:47,0.781s,PASSED
,,,,,,,
Test Cases/98_New Training Program Additional Information Sidebar,Chrome 103.0.5060.114,,,2022-07-12 23:39:47,2022-07-12 23:39:56,9.798s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-12 23:39:48,2022-07-12 23:39:49,1.438s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-12 23:39:49,2022-07-12 23:39:49,0.159s,PASSED
"navigateToUrl(""https://intra.stage.apps.labour.gov.on.ca/public-portal-qa/#/marketplace/course-search"")",Chrome 103.0.5060.114,,,2022-07-12 23:39:49,2022-07-12 23:39:52,2.532s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), 0)",Chrome 103.0.5060.114,,,2022-07-12 23:39:52,2022-07-12 23:39:53,1.008s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:39:53,2022-07-12 23:39:53,0.423s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_Training Eligibility""))",Chrome 103.0.5060.114,,,2022-07-12 23:39:53,2022-07-12 23:39:54,0.640s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:39:54,2022-07-12 23:39:55,0.866s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), ""CPO Approved Courses"")",Chrome 103.0.5060.114,,,2022-07-12 23:39:55,2022-07-12 23:39:56,0.618s,PASSED
